"diet","genotype","weight","heartRate","respiratoryRate"
"CHOW","WT",30.8,349.5394,112.0095454
"CHOW","WT",26,348.2647,105.0707223
"CHOW","WT",25.5,351.5261,106.4533072
"CHOW","WT",34.8,351.8334,113.500301
"CHOW","WT",27.8,350.7533,107.8718078
"CHOW","WT",27.5,349.7539,106.377094
"CHOW","WT",28.2,350.2973,106.9110652
"CHOW","WT",26.7,349.3173,107.2432844
"CHOW","WT",26.1,350.6061,106.3220088
"CHOW","WT",25.8,349.0151,106.0816024
"CHOW","WT",25.5,348.9935,106.1155433
"CHOW","KO",30.5,350.9415,109.8399705
"CHOW","KO",32.7,349.6508,113.2117067
"CHOW","KO",31.7,349.1754,112.1332199
"CHOW","KO",30.5,352.0724,109.7660007
"CHOW","KO",28.6,350.2807,107.8983582
"CHOW","KO",28.8,348.8103,110.3845375
"CHOW","KO",31,350.6588,110.799035
"CHOW","KO",29.8,350.6835,109.2021761
"CHOW","KO",27,350.7065,106.3926064
"CHOW","KO",26.6,349.6371,106.8312894
