"diet","genotype","weight","heartRate","respiratoryRate"
"HFD","WT",31.2,499.8607,109.9538748
"HFD","WT",32.1,500.1329,111.5174735
"HFD","WT",30.3,501.8505,108.7698818
"HFD","WT",45,500.7169,124.6182053
"HFD","WT",39.2,500.656,117.3039201
"HFD","WT",38.8,500.1031,117.1705227
"HFD","WT",41.8,500.0767,122.0091136
"HFD","WT",46.2,500.1892,127.0040145
"HFD","WT",35.8,498.7707,114.8241152
"HFD","WT",35.4,499.2392,116.7998915
"HFD","WT",41.1,499.0575,121.6418459
"HFD","WT",44.9,500.661,126.1024912
"HFD","WT",28.7,502.071,109.1905818
"HFD","WT",42.4,501.6712,123.4188993
"HFD","WT",30.9,499.657,110.7641962
"HFD","KO",37.6,498.8657,118.2874626
"HFD","KO",45.2,499.4897,124.9578578
"HFD","KO",41.1,499.5827,120.8873291
"HFD","KO",34.9,499.8942,114.487187
"HFD","KO",37.8,499.1628,116.1609014
"HFD","KO",36.7,500.892,117.4660461
"HFD","KO",33.4,499.1812,112.6430048
"HFD","KO",40.5,499.8011,120.8988556
"HFD","KO",30.5,502.131,110.1237508
"HFD","KO",33,499.8895,112.9090515
"HFD","KO",33.9,500.658,113.5421163
"HFD","KO",37.5,499.536,118.1855724
"HFD","KO",37.1,500.1261,119.8284251
"HFD","KO",32.8,499.3733,112.6378956
